iteration,adaptive_cells,v1_cells,adaptive_mean_pressure,v1_mean_pressure,rel_dev_pct
17250,3605.0,3661.0,319.137745,316.556532,0.8154
17300,3681.0,3738.0,321.343046,318.415759,0.9193
17350,3758.0,3816.0,323.204653,319.664599,1.1074
17400,3844.0,3900.0,324.574305,321.003227,1.1125
17450,3910.0,3972.0,326.58998,322.423366,1.2923
17500,3996.0,4050.0,328.075068,323.018623,1.5654
17550,4084.0,4139.0,329.680713,323.649298,1.8636
17600,4148.0,4213.0,331.200269,324.772749,1.9791
17650,4253.0,2146.5,332.250496,331.501994,0.2258
17700,2177.0,4383.0,330.502618,324.814945,1.7511
17750,4443.0,4463.0,335.617824,324.644942,3.38
17800,4545.0,4571.0,337.183764,323.491979,4.2325
17850,4649.0,4675.0,339.15755,323.20469,4.9358
17900,4721.0,4774.0,341.425918,322.741253,5.7894
17950,4824.0,4885.0,341.831348,321.635064,6.2793
18000,4923.0,5005.0,343.431685,321.158107,6.9354
18050,5029.0,5125.0,345.694269,320.418367,7.8884
18100,5145.0,5245.0,346.845308,319.473684,8.5677
18150,5267.0,5372.0,347.727724,318.99481,9.0073
18200,2697.5,2748.5,349.815889,318.018172,9.9987
18250,5511.0,5620.0,350.849831,319.181228,9.9218
18300,5627.0,5741.0,351.820652,319.386904,10.155
18350,5744.0,5880.0,353.802318,318.442281,11.1041
18400,5867.0,6007.0,355.448541,317.762863,11.8597
18450,5976.0,6164.0,356.316446,317.854137,12.1006
18500,6097.0,6312.0,356.820025,318.014683,12.2024
18550,6249.0,6449.0,357.133484,317.662548,12.4254
18600,3188.5,3299.0,370.743814,315.947009,17.3437
18650,6522.0,6768.0,358.909059,316.346765,13.4543
18700,6656.0,6929.0,359.294473,316.716201,13.4437
18750,6793.0,7075.0,359.41541,316.610716,13.5197
18800,6955.0,7216.0,359.31266,316.469198,13.538
18850,7103.0,7375.0,359.596307,316.311607,13.6842
18900,7245.0,7547.0,359.884076,316.294641,13.7813
18950,7405.0,3855.0,358.795943,315.292372,13.7979
19000,3777.0,7865.0,355.550753,315.593105,12.6611
19050,7723.0,8023.0,357.285714,314.797988,13.4968
19100,7884.0,8218.0,356.318382,313.803755,13.5482
19150,8059.0,8395.0,355.798697,312.914936,13.7046
19200,8222.0,8556.0,355.236051,312.140947,13.8063
19250,8394.0,4376.0,353.893584,311.738731,13.5225
19300,4286.5,8959.0,351.710806,310.927549,13.1166
19350,8757.0,9133.0,351.707726,311.033744,13.077
19400,8945.0,9313.0,350.438169,310.187507,12.9762
19450,9162.0,9501.0,349.700129,309.524111,12.9799
19500,9377.0,4850.5,348.895227,312.747744,11.558
19550,4806.5,9908.0,357.412737,308.475589,15.8642
19600,9818.0,10156.0,347.173929,307.142723,13.0334
19650,10051.0,10402.0,346.894729,306.499964,13.1794
19700,10277.0,10630.0,346.652247,306.250292,13.1925
19750,10510.0,5452.5,346.668069,310.346728,11.7035
19800,5372.5,11188.0,352.428961,305.178367,15.4829
19850,10960.0,11469.0,348.463314,304.962572,14.2643
19900,11184.0,11722.0,348.572636,304.828833,14.3503
19950,11447.0,11993.0,348.845757,304.39783,14.6019
20000,11687.0,6150.0,350.075442,299.88379,16.737
20050,5986.5,12576.0,348.82321,304.75627,14.4597
20100,12221.0,12851.0,349.973042,305.049382,14.7267
